origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
CYYJ-CYVR,1.3235,1.2074
CYYJ-CYYC,1.0356,1.0317
CYYJ-CYYZ,1.0261,0.9971
CYYT-CYQM,1.0094,1.0761
CYYT-CYUL,1.016,1.2556
CYYT-CYYC,1.0062,1.1239
CYYT-CYYZ,1.0213,1.2391
CYYT-KMCO,1.028,1.1868
CYYZ-BIKF,1.0126,1.0035
CYYZ-CYCD,1.0259,1.2784
CYYZ-CYDF,1.0139,1.0475
CYYZ-CYEG,1.0133,1.1785
CYYZ-CYFC,1.0228,0.9917
CYYZ-CYHZ,1.0267,1.0224
CYYZ-CYLW,1.0247,1.1928
CYYZ-CYMM,1.0123,1.2807
CYYZ-CYMX,1.0625,1.2415
CYYZ-CYOW,1.0963,1.2791
CYYZ-CYQB,1.0531,1.1168
CYYZ-CYQM,1.0252,1.0338
CYYZ-CYQR,1.0209,1.2365
CYYZ-CYQT,1.019,1.2201
CYYZ-CYQY,1.0204,0.9912
CYYZ-CYSB,1.0345,1.3026
CYYZ-CYUL,1.0888,1.2363
CYYZ-CYVR,1.023,1.1697
CYYZ-CYWG,1.0255,1.2232
CYYZ-CYXE,1.0163,1.2221
CYYZ-CYYB,1.0364,1.277
CYYZ-CYYC,1.0224,1.19
CYYZ-CYYG,1.0158,1.0157
CYYZ-CYYJ,1.0287,1.1871
CYYZ-CYYT,1.0152,1.0258
CYYZ-EBBR,1.0262,1.0299
CYYZ-EDDF,1.0263,1.0014
CYYZ-EDDM,1.0256,0.9865
CYYZ-EGCC,1.026,1.0146
CYYZ-EGKK,1.0375,1.0241
CYYZ-EGLL,1.0292,1.006
CYYZ-EGPF,1.0249,1.0312
CYYZ-EGPH,1.0244,1.0108
CYYZ-EHAM,1.0213,1.004
CYYZ-EIDW,1.0274,1.0403
CYYZ-EKCH,1.0223,1.0335
CYYZ-EPWA,1.0225,1.0405
CYYZ-HAAB,1.0272,1.0236
CYYZ-HECA,1.0226,0.979
CYYZ-KAUS,1.0347,1.3136
CYYZ-KBNA,1.0402,1.1661
CYYZ-KBOS,1.0523,1.1095
CYYZ-KCLT,1.0859,1.1854
CYYZ-KDEN,1.0313,1.3035
CYYZ-KDFW,1.049,1.2743
CYYZ-KEWR,1.1237,1.2932
CYYZ-KFLL,1.0559,1.1417
CYYZ-KIAH,1.0473,1.2607
CYYZ-KIND,1.066,1.3196
CYYZ-KJFK,1.238,1.7187
CYYZ-KLAS,1.0203,1.1717
CYYZ-KLAX,1.0218,1.1864
CYYZ-KLGA,1.1561,1.2802
CYYZ-KMCO,1.0286,1.1216
CYYZ-KMEM,1.0362,1.147
CYYZ-KMIA,1.0498,1.1731
CYYZ-KORD,1.0803,1.3379
CYYZ-KPBI,1.0291,1.1827
CYYZ-KPDX,1.0205,1.282
CYYZ-KPHL,1.1614,1.3302
CYYZ-KPHX,1.0248,1.206
CYYZ-KRSW,1.041,1.1206
CYYZ-KSAN,1.0266,1.1686
CYYZ-KSDF,1.0739,1.2194
CYYZ-KSEA,1.0252,1.2845
CYYZ-KSFO,1.0264,1.1781
CYYZ-KSLC,1.0452,1.2823
CYYZ-KSRQ,1.0288,1.16
CYYZ-KTEB,1.0751,1.1355
CYYZ-KTPA,1.0354,1.1431
CYYZ-LDZA,1.0229,0.9978
CYYZ-LEBL,1.0295,0.9944
CYYZ-LEMD,1.0249,1.0185
CYYZ-LFPG,1.0306,1.0336
CYYZ-LGAV,1.0284,1.0184
CYYZ-LHBP,1.0219,1.0072
CYYZ-LIMC,1.0381,1.0181
CYYZ-LIPZ,1.0276,1.0024
CYYZ-LIRF,1.0272,1.0008
CYYZ-LLBG,1.0192,1.034
CYYZ-LOWW,1.0277,1.0154
CYYZ-LPPR,1.0202,0.9823
CYYZ-LPPT,1.0239,0.9891
CYYZ-LSZH,1.0258,1.0168
CYYZ-LTBA,1.0302,0.9962
CYYZ-LTFM,1.0289,1.0127
